章节,功能编号,功能名称,功能描述,输入,处理逻辑,输出,优先级,验收标准,版本,日期
4-功能需求,REQ-FUNC-REG-001,任务注册-装饰器方式,"用户通过 @register_task 装饰器注册定时任务","name/trigger/description/idempotency_key/max_retries/timeout 参数","解析参数→创建 TaskDefinition→注册到 TaskRegistry→任务名唯一性校验","TaskDefinition 对象 + 注册成功状态",Must,"1.装饰器参数含 name/trigger/description/idempotency_key/max_retries/timeout；2.同一任务名重复注册抛出 TASK_DUPLICATE(SCH-02-001)；3.注册后可通过 get_scheduler() 动态添加",v1.0,2026-09-01
4-功能需求,REQ-FUNC-REG-002,任务注册-YAML配置方式,"用户通过 YAML 配置文件批量注册定时任务","YAML 配置文件路径(通过 CLI --config 指定)","解析 YAML→批量创建 TaskDefinition→逐个注册→错误收集","任务注册列表 + 错误报告",Should,"1.YAML 含 tasks 数组；2.每项含 name/trigger/module/function/description/idempotency_key/max_retries/timeout；3.加载失败抛出 CONFIG_NOT_FOUND(SCH-01-001) 或 CONFIG_PARSE_ERROR(SCH-01-002)",v1.0,2026-09-01
4-功能需求,REQ-FUNC-REG-003,任务注册-编程式方式,"用户通过 Python API 注册定时任务","TaskDefinition 对象(module:function 格式)","add_task()→注册到 TaskRegistry→任务名唯一性校验","TaskDefinition 对象 + 注册成功状态",Should,"1.TaskDefinition 含 name/func_ref/trigger_type/trigger_config/description/max_retries/timeout/idempotency_key_expr；2.func_ref 格式 module:function；3.注册后立即可用",v1.0,2026-09-01
4-功能需求,REQ-FUNC-SCH-001,可靠调度-cron触发器,"基于 APScheduler cron 触发器定时执行任务","year/month/day/week/day_of_week/hour/minute/second 参数","解析 cron 参数→创建 CronTrigger→调度执行","定时触发执行",Must,"1.cron 触发器支持全部 7 个参数；2.misfire_grace_time 默认 3600 秒；3.coalesce 默认合并执行",v1.0,2026-09-01
4-功能需求,REQ-FUNC-SCH-002,可靠调度-interval触发器,"基于 APScheduler interval 触发器周期执行任务","weeks/days/hours/minutes/seconds 参数","解析 interval 参数→创建 IntervalTrigger→调度执行","周期触发执行",Must,"1.interval 触发器支持 5 个时间单位参数；2.支持任意组合",v1.0,2026-09-01
4-功能需求,REQ-FUNC-SCH-003,可靠调度-date触发器,"基于 APScheduler date 触发器一次性执行任务","run_date 参数(指定执行时间)","解析 run_date→创建 DateTrigger→调度执行","一次性触发执行",Must,"1.date 触发器支持 run_date 参数；2.时间格式 ISO 8601",v1.0,2026-09-01
4-功能需求,REQ-FUNC-IDM-001,幂等校验,"框架层强制幂等校验，重复执行零副作用","幂等键表达式(含变量 {date}/{datetime}/{task_name}/{run_id}/{weekday}/{month}/{year}/{param:xxx})","变量替换→生成幂等键→查询已执行记录→冲突检测→返回执行/SKIPPED","执行结果 或 SKIPPED 状态(SCH-05-001)",Must,"1.幂等键格式 task_name:{表达式结果}；2.支持 8 种变量替换；3.同一幂等键重复执行返回 SKIPPED；4.冲突时不进入重试队列",v1.0,2026-09-01
4-功能需求,REQ-FUNC-RTY-001,重试策略,"指数退避+抖动+死信队列，避免重试风暴","失败任务 + 重试配置(max_retries/retry_base_delay/retry_max_delay/retry_jitter)","计算退避延迟→添加抖动→等待→重试→耗尽后进入 DLQ","重试结果 或 DLQ 状态(SCH-04-001)",Must,"1.默认 max_retries=3；2.初始延迟 60s；3.最大延迟 3600s；4.抖动 30s；5.TaskResult.skip_retry=True 直接 DLQ",v1.0,2026-09-01
4-功能需求,REQ-FUNC-STS-001,状态持久化,"SQLite 存储任务状态和调度元数据，进程崩溃可恢复","任务状态变更事件","写入 SQLite WAL→崩溃恢复时读取→自动恢复调度","持久化状态",Must,"1.数据库默认 .secrets/scheduler.db；2.支持 WAL 模式；3.进程重启自动恢复调度；4.连接失败抛出 STORAGE_CONNECTION_FAILED(SCH-06-001)",v1.0,2026-09-01
4-功能需求,REQ-FUNC-REC-001,执行记录审计,"CSV 台账格式记录每次执行，审计可追溯","执行结果(ExecutionRecord 16字段)","解析执行记录→CSV 追加写入→UTF-8 BOM 编码","CSV 追加记录",Must,"1.CSV 默认 台账/31_定时任务执行记录.csv；2.字段含 run_id/task_name/trigger_type/scheduled_time/start_time/end_time/duration/status/retry_count/idempotency_key/error_code/error_message/result_data；3.UTF-8 with BOM；4.追加不覆盖",v1.0,2026-09-01
4-功能需求,REQ-FUNC-ALT-001,告警通知-系统通知,"系统通知方式告警(失败/堆积/心跳异常)","告警事件(失败次数/队列堆积数/心跳超时秒数)","阈值判断→系统通知(macOS/Linux/Windows)","系统通知弹窗",Should,"1.失败阈值可配置(默认1次)；2.堆积阈值可配置(默认50)；3.心跳超时可配置(默认300秒)；4.告警失败不阻塞主流程(SCH-08-001)",v1.0,2026-09-01
4-功能需求,REQ-FUNC-ALT-002,告警通知-Webhook,"Webhook HTTP POST 方式告警","告警事件 + webhook_url 配置","构造 JSON payload→HTTP POST→超时/重试","HTTP 响应",Should,"1.Webhook URL 可选；2.超时 30 秒；3.失败降级不阻塞主流程",v1.0,2026-09-01
4-功能需求,REQ-FUNC-TMO-001,超时控制,"任务超时强制终止，防止单个任务阻塞调度器","任务执行 + timeout 配置","计时→超时→SIGTERM(Unix)/TerminateProcess(Windows)→记录超时","TASK_TIMEOUT(SCH-04-002)",Must,"1.默认超时 300 秒；2.超时后发送终止信号；3.超时记录 TASK_TIMEOUT；4.超时后任务状态 FAILED",v1.0,2026-09-01
