章节,约束编号,约束类型,约束描述,影响范围,版本,日期
6-设计约束,DC-001,技术栈,Python 3.10+/APScheduler 3.11.3/SQLite/PyYAML/httpx,全框架,v1.0,2026-09-01
6-设计约束,DC-002,平台兼容,macOS/Linux/Windows 三平台同时支持，行尾 LF，禁 Windows 专属命令,全框架,v1.0,2026-09-01
6-设计约束,DC-003,铁律卡,全局铁律卡 10 条 + 项目级 2 条（中文交流/项目内落盘）全程强制生效,全框架,v1.0,2026-09-01
6-设计约束,DC-004,敏感信息,A 级禁止入库/B 级脱敏入库/C 级正常入库,数据层,v1.0,2026-09-01
6-设计约束,DC-005,目录边界,本项目可读写/删除=本项目目录，项目外需 register_auth 授权,文件系统,v1.0,2026-09-01
6-设计约束,DC-006,零预算,无外部资金投入，纯内部工时，工具链全开源免费,项目管理,v1.0,2026-09-01
6-设计约束,DC-007,单人多角色,同一人兼任全部角色，靠强制门禁(stage_review/gate/多视角验证)规避盲区,项目管理,v1.0,2026-09-01
6-设计约束,DC-008,治理全流程,必须跑通 DevProjectTeamSkill 标准模式全生命周期，不可裁剪第 0 阶段与总控,治理层,v1.0,2026-09-01
6-设计约束,DC-009,CSV 规范,台账/评审/变更/风险/缺陷全部 CSV(UTF-8 with BOM)，禁止 .xlsx,数据层,v1.0,2026-09-01
6-设计约束,DC-010,需求基线权威,需求基线为设计与开发唯一权威基准，已实现功能≠需求基线,需求层,v1.0,2026-09-01
